2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:40,827 - INFO - Initial process node created - PID: 11616, Name: AuTray.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:41,008 - INFO - Initial process node created - PID: 2408, Name: igfxCUIService.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:41,199 - INFO - Initial process node created - PID: 4456, Name: ThunderboltService.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:41,378 - INFO - Initial process node created - PID: 876, Name: lsass.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:41,540 - INFO - Initial process node created - PID: 1388, Name: dwm.exe, Memory: 1.4%, CPU: 0.0%
2025-05-30 16:40:41,700 - INFO - Initial process node created - PID: 3948, Name: Dell.TechHub.exe, Memory: 0.4%, CPU: 0.0%
2025-05-30 16:40:41,865 - INFO - Initial process node created - PID: 7532, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:42,026 - INFO - Initial process node created - PID: 4464, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:42,184 - INFO - Initial process node created - PID: 14192, Name: DDVDataCollector.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:42,310 - INFO - Initial process node created - PID: 17264, Name: Cursor.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:42,485 - INFO - Initial process node created - PID: 1908, Name: MoUsoCoreWorker.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:42,603 - INFO - Initial process node created - PID: 10100, Name: powershell.exe, Memory: 0.3%, CPU: 0.0%
2025-05-30 16:40:42,767 - INFO - Initial process node created - PID: 3960, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:42,928 - INFO - Initial process node created - PID: 4472, Name: RstMwService.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:43,086 - INFO - Initial process node created - PID: 892, Name: winlogon.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:43,229 - INFO - Initial process node created - PID: 5500, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:43,361 - INFO - Initial process node created - PID: 9600, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:43,516 - INFO - Initial process node created - PID: 4484, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:43,670 - INFO - Initial process node created - PID: 7044, Name: Dell.TechHub.Diagnostics.SubAgent.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:43,788 - INFO - Initial process node created - PID: 5004, Name: SearchApp.exe, Memory: 0.7%, CPU: 0.0%
2025-05-30 16:40:43,942 - INFO - Initial process node created - PID: 3476, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:44,058 - INFO - Initial process node created - PID: 8604, Name: ctfmon.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:44,175 - INFO - Initial process node created - PID: 10652, Name: firefox.exe, Memory: 2.8%, CPU: 0.0%
2025-05-30 16:40:44,330 - INFO - Initial process node created - PID: 4000, Name: svchost.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:44,456 - INFO - Initial process node created - PID: 13216, Name: CodeSetup-stable-0.50.7.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:44,631 - INFO - Initial process node created - PID: 2468, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:44,821 - INFO - Initial process node created - PID: 3496, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:44,980 - INFO - Initial process node created - PID: 1452, Name: IntelCpHDCPSvc.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:45,141 - INFO - Initial process node created - PID: 3504, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:45,300 - INFO - Initial process node created - PID: 4016, Name: WmiPrvSE.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:45,455 - INFO - Initial process node created - PID: 4532, Name: WavesSysSvc64.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:45,609 - INFO - Initial process node created - PID: 4024, Name: svchost.exe, Memory: 0.3%, CPU: 0.0%
2025-05-30 16:40:45,760 - INFO - Initial process node created - PID: 13756, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:45,882 - INFO - Initial process node created - PID: 4544, Name: Cursor.exe, Memory: 0.9%, CPU: 0.0%
2025-05-30 16:40:46,036 - INFO - Initial process node created - PID: 9152, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
